A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
210	Po     	84 	126	0.0000  	0+            	-15.9531            	11        	138.376 D 2              	1.196E7                  	          	        	A       	100.00      
211	Po     	84 	127	0.0000  	9/2+          	-12.4326            	13        	0.516 S 3                	0.516                    	          	        	A       	100.00      
212	Po     	84 	128	0.0000  	0+            	-10.3695            	12        	0.299 US 2               	2.99E-7                  	          	        	A       	100.00      
213	Po     	84 	129	0.0000  	9/2+          	-6.654              	3         	3.72 US 2                	3.72E-6                  	          	        	A       	100.00      
214	Po     	84 	130	0.0000  	0+            	-4.4700             	14        	163.6 US 3               	1.636E-4                 	          	        	A       	100.00      
215	Po     	84 	131	0.0000  	9/2+          	-0.5417             	21        	1.781 MS 4               	0.00178                  	          	        	A       	100.00      
215	Po     	84 	131	0.0000  	9/2+          	-0.5417             	21        	1.781 MS 4               	0.00178                  	          	        	B-      	2.3E-4      
216	Po     	84 	132	0.0000  	0+            	1.7824              	18        	0.145 S 2                	0.145                    	          	        	A       	100.00      
217	Po     	84 	133	0.0000  	(9/2+)        	5.884               	7         	1.53 S 5                 	1.53                     	          	        	A       	            
218	Po     	84 	134	0.0000  	0+            	8.3569              	20        	3.098 M 12               	185.88                   	          	        	B-      	0.02        
218	Po     	84 	134	0.0000  	0+            	8.3569              	20        	3.098 M 12               	185.88                   	          	        	A       	99.98       
219	Po     	84 	135	0.0000  	(9/2+)        	12.681              	16        	620 S 59T                	620                      	          	        	A       	28.20       
219	Po     	84 	135	0.0000  	(9/2+)        	12.681              	16        	620 S 59T                	620                      	          	        	B-      	71.80       
220	Po     	84 	136	0.0000  	0+            	15.263              	18        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
221	Po     	84 	137	0.0000  	              	19.774              	20        	112 S +58-28             	112                      	          	        	B-      	100.00      
222	Po     	84 	138	0.0000  	0+            	22.49               	4         	550 S 430                	550                      	          	        	B-      	100.00      
223	Po     	84 	139	0.0000  	              	27.08               	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
224	Po     	84 	140	0.0000  	0+            	29.91               	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
225	Po     	84 	141	0.0000  	              	34.5                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
226	Po     	84 	142	0.0000  	0+            	37.5                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
227	Po     	84 	143	0.0000  	              	42.3                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
191	At     	85 	106	0.0000  	(1/2+)        	3.864               	16        	1.7 MS +11-5             	0.0017                   	          	        	A       	100.00      
192	At     	85 	107	0.0000  	              	2.93                	3         	11.5 MS 6                	0.0115                   	          	        	A       	100.00      
192	At     	85 	107	0.0000  	(9-,10-)      	2.93                	3         	88 MS 6                  	0.088                    	          	        	A       	100.00      
193	At     	85 	108	0.0000  	(1/2+)        	-0.067              	22        	28 MS +5-4               	0.028                    	          	        	A       	100.00      
194	At     	85 	109	0.0000  	(9-10-)       	-0.720              	25        	310 MS 8                 	0.31                     	          	        	A       	            
194	At     	85 	109	0.0000  	              	-0.720              	25        	253 MS 10                	0.253                    	          	        	A       	            
195	At     	85 	110	0.0000  	(1/2+)        	-3.470              	10        	290 MS 20                	0.29                     	          	        	A       	100.00      
195	At     	85 	110	0.0000  	(7/2-)        	-3.470              	10        	143 MS 3                 	0.143                    	          	        	A       	100.00      
196	At     	85 	111	0.0000  	(3+)          	-3.91               	3         	0.388 S 7                	0.388                    	          	        	A       	~ 95.10     
196	At     	85 	111	0.0000  	(3+)          	-3.91               	3         	0.388 S 7                	0.388                    	          	        	EC      	@ 4.90      
197	At     	85 	112	0.0000  	(9/2-)        	-6.355              	8         	0.388 S 6                	0.388                    	          	        	A       	96.10       
197	At     	85 	112	0.0000  	(9/2-)        	-6.355              	8         	0.388 S 6                	0.388                    	          	        	EC      	3.90        
198	At     	85 	113	0.0000  	(3+)          	-6.715              	6         	4.2 S 2                  	4.2                      	          	        	A       	90.00       
198	At     	85 	113	0.0000  	(3+)          	-6.715              	6         	4.2 S 2                  	4.2                      	          	        	EC      	10.00       
199	At     	85 	114	0.0000  	(9/2-)        	-8.823              	5         	6.92 S 13                	6.92                     	          	        	A       	90.00       
199	At     	85 	114	0.0000  	(9/2-)        	-8.823              	5         	6.92 S 13                	6.92                     	          	        	EC      	10.00       
